date,open,prev_close,close,vix_close,vix_prev,morning_score
2019-02-12,26259.25,26240.0,26094.4,15.33,15.42,0
2019-02-14,25767.9,26094.4,25945.7,15.35,15.33,-1
2019-02-15,25911.55,25945.7,25500.6,16.02,15.35,0
2019-02-18,25490.0,25500.6,25296.45,17.52,16.02,1
2019-02-19,25310.65,25296.45,25337.5,17.97,17.52,0
2019-02-20,25434.1,25337.5,25677.3,16.6,17.97,1
2019-02-21,25724.95,25677.3,25896.95,15.62,16.6,0
2019-02-22,25930.2,25896.95,26097.55,15.04,15.62,0
2019-02-25,26179.05,26097.55,26212.65,14.95,15.04,3
2019-02-26,26006.35,26212.65,26199.65,16.65,14.95,0
2019-02-27,26301.65,26199.65,26310.85,18.39,16.65,2
2019-02-28,26415.35,26310.85,26514.45,17.79,18.39,1
2019-03-01,26613.55,26514.45,26847.9,15.83,17.79,2
2019-03-05,26884.0,26847.9,27347.05,15.24,15.83,0
2019-03-06,27500.5,27347.05,27558.1,15.19,15.24,1
2019-03-07,27598.55,27558.1,27429.5,14.88,15.19,0
2019-03-08,27401.75,27429.5,27458.2,14.54,14.88,0
2019-03-11,27573.25,27458.2,28087.55,14.5,14.54,2
2019-03-12,28261.15,28087.55,28208.3,14.69,14.5,3
2019-03-13,28269.65,28208.3,28047.85,14.87,14.69,1
2019-03-14,28104.4,28047.85,27942.1,14.74,14.87,2
2019-03-15,27983.5,27942.1,27907.65,15.44,14.74,1
2019-03-18,27995.55,27907.65,27970.7,16.45,15.44,2
2019-03-19,28066.65,27970.7,28058.65,16.05,16.45,2
2019-03-20,28110.15,28058.65,27964.1,15.6,16.05,1
2019-03-22,27965.15,27964.1,27760.0,15.83,15.6,2
2019-03-25,27606.7,27760.0,27423.25,16.22,15.83,-1
2019-03-26,27497.2,27423.25,27681.75,16.05,16.22,0
2019-03-27,27806.65,27681.75,27623.2,16.59,16.05,2
2019-03-28,27664.65,27623.2,27873.05,16.2,16.59,1
2019-04-01,28450.65,27873.05,28334.0,17.53,16.2,2
2019-04-02,28398.85,28334.0,28137.0,17.6,17.53,1
2019-04-03,28238.7,28137.0,28033.15,18.28,17.6,1
2019-04-04,28119.5,28033.15,28020.55,18.15,18.28,0
2019-04-05,28111.3,28020.55,28143.05,17.9,18.15,1
2019-04-08,28182.35,28143.05,28039.3,19.61,17.9,0
2019-04-09,28068.25,28039.3,28146.45,19.74,19.61,0
2019-04-10,28137.25,28146.45,28056.8,20.56,19.74,0
2019-04-11,28069.8,28056.8,28148.55,20.4,20.56,1
