date,fii_net_cr
2014-07-09,645.19
2014-07-10,161.55
2014-07-11,-723.48
2014-07-14,-558.25
2014-07-15,-3.4
2014-07-16,621.68
2014-07-17,1912.42
2014-07-18,574.47
2014-07-21,161.17
2014-07-22,412.03
2014-07-23,652.4
2014-07-24,282.44
2014-07-25,125.51
2014-07-28,75.04
2014-07-30,-381.66
2014-07-31,-1654.86
2014-08-01,-1072.96
2014-08-04,372.56
2014-08-05,52.85
2014-08-06,283.87
2014-08-07,-73.07
2014-08-08,-503.74
2014-08-11,-162.92
2014-08-12,370.83
2014-08-13,718.27
2014-08-14,625.18
2014-08-18,473.42
2014-08-19,559.39
2014-08-20,251.36
2014-08-21,412.77
2014-08-22,302.06
2014-08-25,127.33
2014-08-26,364.72
2014-08-27,290.18
2014-08-28,-710.63
2014-09-01,554.14
2014-09-02,672.81
2014-09-03,1288.57
2014-09-04,1697.74
2014-09-05,310.51
2014-09-08,1162.98
2014-09-09,479.4
2014-09-10,-9.91
2014-09-11,433.55
2014-09-12,182.8
2014-09-15,-74.59
2014-09-16,-828.95
2014-09-17,136.08
2014-09-18,-9.57
2014-09-19,-6.53
2014-09-22,-186.41
2014-09-23,-1185.17
2014-09-24,-793.65
2014-09-25,-851.24
2014-09-26,-1133.64
2014-09-29,150.1
2014-09-30,-485.93
2014-10-01,-63.24
2014-10-07,-332.84
2014-10-08,-1440.99
2014-10-09,-20.89
2014-10-10,-719.77
2014-10-13,-671.06
2014-10-14,-694.67
2014-10-16,-1128.37
2014-10-17,-1430.03
2014-10-20,1040.08
2014-10-21,32.4
2014-10-22,7.54
2014-10-23,-12.38
2014-10-27,49.14
2014-10-28,-108
2014-10-29,785.61
2014-10-30,1257.49
2014-10-31,1754.73
2014-11-03,1413.34
2014-11-05,1030.85
2014-11-07,2537.13
2014-11-10,355.3
2014-11-11,458.04
2014-11-12,459.47
2014-11-13,690.61
2014-11-14,645.9
2014-11-17,656.37
2014-11-18,-101.98
2014-11-19,71.8
2014-11-20,-477.15
2014-11-21,122.5
2014-11-24,407.42
2014-11-25,1168.94
2014-11-26,181.46
2014-11-27,389.73
2014-11-28,935.86
2014-12-01,-12.36
2014-12-02,106.82
2014-12-03,391.07
2014-12-04,474
2014-12-05,-109.45
2014-12-08,4984.6
2014-12-09,-221.52
2014-12-10,5.39
2014-12-11,-808.27
2014-12-12,-864.96
2014-12-15,-455.72
2014-12-16,-1247.24
2014-12-17,-1636.36
2014-12-18,-874.89
2014-12-19,-668.85
2014-12-22,-335.24
2014-12-23,-444.93
2014-12-24,-2808.27
2014-12-26,39.97
2014-12-29,-204.22
2014-12-30,277.92
2014-12-31,481.08
2015-01-01,18.2
2015-01-02,259.82
2015-01-05,472
2015-01-06,-1570.76
2015-01-07,-1073.18
2015-01-08,-466.78
2015-01-09,-297.99
2015-01-12,244.95
2015-01-13,235.09
2015-01-14,-69.74
2015-01-15,1738.24
2015-01-16,1099.93
2015-01-19,433.72
2015-01-20,1275.59
2015-01-21,2065.49
2015-01-22,592.79
2015-01-23,2019.98
2015-01-27,953.51
2015-01-28,1723.17
2015-01-29,1723.77
2015-01-30,-771.55
2015-02-02,-629.97
2015-02-03,-264.35
2015-02-04,-83.8
2015-02-05,-27.43
2015-02-06,-96.45
2015-02-09,-660.3
2015-02-10,-1261.19
2015-02-11,-371.27
2015-02-12,-406.28
2015-02-13,390.26
2015-02-16,-182.8
2015-02-18,2187.96
2015-02-19,1542.7
2015-02-20,-89.41
2015-02-23,601.91
2015-02-24,697.28
2015-02-25,516.06
2015-02-26,2312.15
2015-02-27,1957.1
2015-02-28,614.03
2015-03-02,424.79
2015-03-03,772.92
2015-03-04,2786.24
2015-03-05,79.84
2015-03-09,838.3
2015-03-10,-748.13
2015-03-11,-444.65
2015-03-12,733.09
2015-03-13,66.98
2015-03-16,-762.55
2015-03-17,265.52
2015-03-18,-457.43
2015-03-19,1428.72
2015-03-20,354.59
2015-03-23,417.41
2015-03-24,737.86
2015-03-25,813.19
2015-03-26,-521.23
2015-03-27,-320.52
2015-03-30,-240.34
2015-03-31,356.07
2015-04-01,209.87
2015-04-06,936.81
2015-04-07,143.98
2015-04-08,-479.18
2015-04-09,193.81
2015-04-10,362.79
2015-04-13,417.01
2015-04-15,108
2015-04-16,-214.36
2015-04-17,-675.71
2015-04-20,-1506.86
2015-04-21,17488.73
2015-04-22,-910.15
2015-04-23,-276.83
2015-04-24,-775.46
2015-04-27,-1749.33
2015-04-28,-1532.84
2015-04-29,-718.31
2015-04-30,-3157.61
2015-05-04,60.53
2015-05-05,-756.52
2015-05-06,-1699.6
2015-05-07,-1360.69
2015-05-08,-437.56
2015-05-11,169.97
2015-05-12,-1329.43
2015-05-13,-71.2
2015-05-14,-73.76
2015-05-15,-38.31
2015-05-18,-202.12
2015-05-19,48.06
2015-05-20,123.49
2015-05-21,-186.26
2015-05-22,211.42
2015-05-25,74.14
2015-05-26,114.81
2015-05-27,-934.98
2015-05-28,-792.54
2015-05-29,2284.3
2015-06-01,113.47
2015-06-02,-594.14
2015-06-03,-727.61
2015-06-04,511.9
2015-06-05,-550.29
2015-06-08,-749.12
2015-06-10,-482.11
2015-06-11,-622.89
2015-06-12,-670.96
2015-06-15,-604.86
2015-06-16,-521.65
2015-06-17,-940.91
2015-06-18,-784.73
2015-06-19,-106.12
2015-06-22,651.31
2015-06-23,-374.97
2015-06-24,92.57
2015-06-25,280.21
2015-06-26,-203.74
2015-06-29,-711.88
2015-06-30,-551.38
2015-07-01,75.03
2015-07-02,575.32
2015-07-03,356.29
2015-07-06,149.37
2015-07-07,23.54
2015-07-08,-354.32
2015-07-09,-254.1
2015-07-10,-465.27
2015-07-13,527.98
2015-07-14,269.9
2015-07-15,407.69
