date,open,prev_close,close,vix_close,vix_prev,gap_pct,us_pct,fii_net,pcr,sig_gap,sig_us,sig_fii,sig_pcr,morning_score
2024-07-24,24444.95,24479.05,24413.5,11.76,12.75,-0.139,,,,0,0,0,0,0
2024-07-25,24230.95,24413.5,24406.1,12.62,11.76,-0.748,-2.315,,,-1,-1,0,0,-2
2024-07-26,24423.35,24406.1,24834.85,12.25,12.62,0.071,-0.514,,,0,-1,0,0,-1
2024-07-29,24943.3,24834.85,24836.1,12.95,12.25,0.437,1.109,,,1,1,0,0,2
2024-07-30,24839.4,24836.1,24857.3,12.88,12.95,0.013,0.081,,,0,0,0,0,0
2024-07-31,24886.7,24857.3,24951.15,13.25,12.88,0.118,-0.496,,,0,0,0,0,0
2024-08-01,25030.95,24951.15,25010.9,12.93,13.25,0.32,1.579,,,1,1,0,0,2
2024-08-02,24789.0,25010.9,24717.7,14.32,12.93,-0.887,-1.369,,,-1,-1,0,0,-2
2024-08-05,24302.85,24717.7,24055.6,20.37,14.32,-1.678,-1.838,,,-1,-1,0,0,-2
2024-08-06,24189.85,24055.6,23992.55,18.74,20.37,0.558,-2.997,,,1,-1,0,0,0
2024-08-07,24289.4,23992.55,24297.5,16.17,18.74,1.237,1.035,,,1,1,0,0,2
2024-08-08,24248.55,24297.5,24117.0,16.6,16.17,-0.201,-0.773,,,0,-1,0,0,-1
2024-08-09,24386.85,24117.0,24367.5,15.34,16.6,1.119,2.304,,,1,1,0,0,2
2024-08-12,24320.05,24367.5,24347.0,15.87,15.34,-0.195,0.467,,,0,0,0,0,0
2024-08-13,24342.35,24347.0,24139.0,16.17,15.87,-0.019,0.004,,,0,0,0,0,0
2024-08-14,24184.4,24139.0,24143.75,15.44,16.17,0.188,1.685,,,0,1,0,0,1
2024-08-16,24334.85,24143.75,24541.15,14.4,15.44,0.792,1.613,,,1,1,0,0,2
2024-08-19,24636.35,24541.15,24572.65,14.32,14.4,0.388,0.199,,,1,0,0,0,1
