date,open,prev_close,close,vix_close,vix_prev,gap_pct,us_pct,fii_net,pcr,sig_gap,sig_us,sig_fii,sig_pcr,morning_score
2019-02-12,26259.25,26240.0,26094.4,15.75,15.84,0.073,,-125.05,,0,0,0,0,0
2019-02-14,25767.9,26094.4,25945.7,15.77,15.75,-1.251,0.302,-676.63,,-1,0,0,0,-1
2019-02-15,25911.55,25945.7,25500.6,16.46,15.77,-0.132,-0.265,-250.23,,0,0,0,0,0
2019-02-18,25490.0,25500.6,25296.45,18.0,16.46,-0.042,1.088,-966.43,,0,1,0,0,1
2019-02-19,25310.65,25296.45,25337.5,18.47,18.0,0.056,1.088,-1239.79,,0,1,-1,0,0
2019-02-20,25434.1,25337.5,25677.3,17.06,18.47,0.381,0.15,-813.76,,1,0,0,0,1
2019-02-21,25724.95,25677.3,25896.95,16.05,17.06,0.186,0.178,713.47,,0,0,0,0,0
2019-02-22,25930.2,25896.95,26097.55,15.45,16.05,0.128,-0.353,55.48,,0,0,0,0,0
2019-02-25,26179.05,26097.55,26212.65,15.36,15.45,0.312,0.641,6311.01,,1,1,1,0,3
2019-02-26,26006.35,26212.65,26199.65,17.11,15.36,-0.787,0.123,2134.35,,-1,0,1,0,0
2019-02-27,26301.65,26199.65,26310.85,18.9,17.11,0.389,-0.079,1674.17,,1,0,1,0,2
2019-02-28,26415.35,26310.85,26514.45,18.28,18.9,0.397,-0.054,423.04,,1,0,0,0,1
2019-03-01,26613.55,26514.45,26847.9,16.27,18.28,0.374,-0.283,3210.6,,1,0,1,0,2
2019-03-05,26884.0,26847.9,27347.05,15.66,16.27,0.134,-0.388,198.38,,0,0,0,0,0
2019-03-06,27500.5,27347.05,27558.1,15.61,15.66,0.561,-0.113,751.92,,1,0,0,0,1
2019-03-07,27598.55,27558.1,27429.5,15.29,15.61,0.147,-0.652,1130.78,,0,-1,1,0,0
2019-03-08,27401.75,27429.5,27458.2,14.94,15.29,-0.101,-0.813,1137.85,,0,-1,1,0,0
2019-03-11,27573.25,27458.2,28087.55,14.9,14.94,0.419,-0.213,1095.06,,1,0,1,0,2
2019-03-12,28261.15,28087.55,28208.3,15.1,14.9,0.618,1.467,3810.6,,1,1,1,0,3
2019-03-13,28269.65,28208.3,28047.85,15.28,15.1,0.217,0.295,2477.72,,0,0,1,0,1
2019-03-14,28104.4,28047.85,27942.1,15.15,15.28,0.202,0.695,2722.28,,0,1,1,0,2
2019-03-15,27983.5,27942.1,27907.65,15.87,15.15,0.148,-0.087,1482.99,,0,0,1,0,1
2019-03-18,27995.55,27907.65,27970.7,16.9,15.87,0.315,0.498,4323.49,,1,0,1,0,2
2019-03-19,28066.65,27970.7,28058.65,16.49,16.9,0.343,0.371,1822.99,,1,0,1,0,2
2019-03-20,28110.15,28058.65,27964.1,16.03,16.49,0.184,-0.013,2132.36,,0,0,1,0,1
2019-03-22,27965.15,27964.1,27760.0,16.27,16.03,0.004,1.085,1771.61,,0,1,1,0,2
2019-03-25,27606.7,27760.0,27423.25,16.67,16.27,-0.552,-1.897,1374.57,,-1,-1,1,0,-1
2019-03-26,27497.2,27423.25,27681.75,16.49,16.67,0.27,-0.084,150.4,,0,0,0,0,0
2019-03-27,27806.65,27681.75,27623.2,17.05,16.49,0.451,0.718,999.02,,1,1,0,0,2
2019-03-28,27664.65,27623.2,27873.05,16.65,17.05,0.15,-0.464,1481.11,,0,0,1,0,1
2019-04-01,28450.65,27873.05,28334.0,18.01,16.65,2.072,0.673,-86.21,,1,1,0,0,2
2019-04-02,28398.85,28334.0,28137.0,18.08,18.01,0.229,1.157,898.79,,0,1,0,0,1
2019-04-03,28238.7,28137.0,28033.15,18.78,18.08,0.361,0.002,543.36,,1,0,0,0,1
2019-04-04,28119.5,28033.15,28020.55,18.65,18.78,0.308,0.215,-1040.48,,1,0,-1,0,0
2019-04-05,28111.3,28020.55,28143.05,18.39,18.65,0.324,0.208,-226.19,,1,0,0,0,1
2019-04-08,28182.35,28143.05,28039.3,20.15,18.39,0.14,0.464,797.9,,0,0,0,0,0
2019-04-09,28068.25,28039.3,28146.45,20.28,20.15,0.103,0.105,329.6,,0,0,0,0,0
2019-04-10,28137.25,28146.45,28056.8,21.13,20.28,-0.033,-0.607,1212.35,,0,-1,1,0,0
2019-04-11,28069.8,28056.8,28148.55,20.96,21.13,0.046,0.348,1429.92,,0,0,1,0,1
2019-04-12,28171.6,28148.55,28271.1,21.0,20.96,0.082,0.004,476.51,,0,0,0,0,0
2019-04-15,28351.35,28271.1,28389.5,21.39,21.0,0.284,0.661,897.45,,0,1,0,0,1
2019-04-16,28482.05,28389.5,28542.45,21.69,21.39,0.326,-0.063,713.22,,1,0,0,0,1
2019-04-18,28593.75,28542.45,28419.55,22.74,21.69,0.18,-0.227,1038.58,,0,0,1,0,1
2019-04-22,28317.15,28419.55,27907.25,24.05,22.74,-0.36,0.158,1038.46,,-1,0,1,0,0
2019-04-23,27967.55,27907.25,27874.85,24.65,24.05,0.216,0.101,73.08,,0,0,0,0,0
2019-04-24,27885.55,27874.85,28057.85,23.71,24.65,0.038,0.884,-237.47,,0,1,0,0,1
2019-04-25,28093.65,28057.85,27914.95,23.23,23.71,0.128,-0.219,974.88,,0,0,0,0,0
