datetime_ist,run_type,nifty_spot,india_vix,cash,unrealized_pnl,total_equity,open_positions
2026-07-23 20:00,initial,,,100000,0,100000,0
2026-07-23 22:10,night,23869.6,13.14,100000,0,100000,0
2026-07-24 08:52,morning,23670.0,13.48,90996.75,-131.25,99768.75,1
2026-07-24 18:06,evening,23767.45,14.03,90996.75,-2776.75,97223.25,1
2026-07-24 22:55,night,23767.45,14.03,90996.75,-2776.75,97223.25,1
2026-07-27 08:53,morning,23868.0,14.03,90996.75,-8367.25,91632.75,1
2026-07-27 09:15,monitor-exit,23941.0,14.03,91308.58,0,91308.58,0
2026-07-27 18:00,evening,24002.1,12.63,91308.58,0,91308.58,0
2026-07-27 23:32,night,24002.1,12.63,91308.58,0,91308.58,0
2026-07-28 08:57,morning,23978,12.63,91308.58,0,91308.58,0
2026-07-28 18:31,evening,24004.25,12.52,91308.58,0,91308.58,0
2026-07-28 21:58,night,24004.25,12.56,91308.58,0,91308.58,0
2026-07-29 08:52,morning,24136,12.64,91308.58,0,91308.58,0
2026-07-29 21:38,evening,24250.2,12.03,91308.58,0,91308.58,0
2026-07-30 09:05,morning,24222.2,12.64,91308.58,0,91308.58,0
2026-07-30 18:05,evening,24317.15,12.16,91308.58,0,91308.58,0
2026-07-31 08:57,morning,24388.0,12.15,81707.58,-140.25,91068.33,1
2026-07-31 20:35,evening,24383.6,11.75,81707.58,-611.25,90597.33,1
2026-08-03 09:58,morning,24545.0,11.76,81707.58,2605.50,93814.08,1
2026-08-03 10:15,monitor-exit,24580.3,11.84,96079.96,0,96079.96,0
2026-08-03 17:28,evening,24774.3,11.94,96079.96,0,96079.96,0
2026-08-04 08:45,morning,24639.0,11.93,96079.96,0.00,96079.96,0
2026-08-04 19:27,evening,24614.9,12.19,96079.96,0,96079.96,0
2026-08-05 08:45,morning,24760.0,12.19,82997.46,-292.00,95787.96,1
2026-08-05 09:15,monitor-exit,24645.95,10.805,90448.58,0,90448.58,0
2026-08-05 18:10,evening,24624.65,11.68,90448.58,0,90448.58,0
2026-08-06 08:45,morning,24624.65,11.68,90448.58,0,90448.58,0
