datetime_ist,run_type,index_spot,india_vix,cash,unrealized_pnl,total_equity,open_positions
2026-07-24 20:30,initial,,,100000,0,100000,0
2026-07-27 23:32,night,,12.63,100000,0,100000,0
2026-07-28 08:57,morning,,12.63,100000,0,100000,0
2026-07-28 18:31,evening,,12.52,100000,0,100000,0
2026-07-28 21:58,night,,12.56,100000,0,100000,0
2026-07-29 08:52,morning,,12.64,100000,0,100000,0
2026-07-29 21:38,evening,,12.03,100000,0,100000,0
2026-07-30 09:05,morning,,12.64,100000,0,100000,0
2026-07-30 18:05,evening,,12.16,100000,0,100000,0
2026-07-31 08:57,morning,71660.0,12.15,100000,0,100000,0
2026-07-31 20:35,evening,,11.75,100000,0,100000,0
2026-08-03 09:58,morning,71896.75,11.76,100000,0,100000,0
